segment_id,lat_cell,lon_cell,detections
0,-15.9,25.6,1
0,51.5,-2.0,2
0,-14.7,127.1,35
0,-13.7,34.3,14
0,23.1,120.1,3
0,34.6,-98.6,2
0,14.6,-85.3,3
0,-29.7,31.0,18
0,32.6,-105.5,2
0,15.0,80.0,1
0,-21.3,33.3,48
0,43.8,12.7,2
0,12.0,107.9,3
0,-10.1,-66.9,9
0,-6.4,12.4,79
0,7.4,-3.4,2
0,-3.2,32.9,7
0,-8.3,19.2,105
0,21.6,-78.9,5
0,-12.4,14.4,194
0,9.7,33.2,2
0,7.2,40.7,8
0,-7.9,-74.2,1
0,36.9,9.7,6
0,-25.0,149.5,1
0,13.2,23.7,7
0,-9.6,29.1,171
0,13.5,24.8,1
0,-35.9,174.0,1
0,55.5,38.1,1
0,-15.5,-39.0,1
0,-24.7,44.3,5
0,-7.7,-63.1,4
0,3.2,28.1,1
0,47.8,132.1,2
0,-21.2,118.6,2
0,8.9,-73.5,1
0,-6.5,-45.1,96
0,-7.9,-63.5,8
0,51.3,57.1,2
0,21.8,85.1,1
0,41.7,23.2,31
0,-13.1,132.3,165
0,-9.7,34.5,49
0,-16.6,-69.9,5
0,-7.4,-38.1,2
0,46.9,29.6,3
0,26.2,44.0,10
0,-11.7,-42.5,10
0,-25.1,-51.1,16
0,-5.8,-57.9,1
0,44.6,129.7,2
0,13.5,10.6,1
0,-4.8,21.8,98
0,-12.8,21.9,56
0,-26.6,149.2,6
0,-1.3,25.3,33
0,46.2,48.3,2
0,-22.8,31.0,105
0,6.7,-71.7,1
0,22.1,-80.1,1
0,22.5,75.6,2
0,43.0,-92.0,1
0,36.0,-83.5,1
0,53.0,67.9,23
0,14.5,-9.7,7
0,38.2,-78.6,1
0,-14.3,127.2,149
0,-7.1,22.4,177
0,-5.1,-50.9,2
0,-13.1,29.6,128
0,14.7,34.7,2
0,-33.7,138.6,1
0,-2.3,28.3,46
0,-14.1,131.9,64
0,33.1,-83.4,1
0,43.3,24.3,1
0,28.4,-89.1,1
0,-2.7,34.9,8
0,7.9,-5.8,2
0,31.3,74.6,11
0,-0.7,31.5,8
0,9.8,27.0,27
0,-18.5,19.9,35
0,-3.7,-61.1,3
0,-5.4,-48.6,1
0,29.8,106.4,9
0,20.3,72.9,3
0,26.0,79.6,1
0,23.8,49.1,22
0,45.0,18.5,2
0,-11.9,18.0,226
0,-8.8,21.9,243
0,-22.5,34.5,6
0,-18.3,-51.7,1
0,18.1,-88.5,55
0,-20.3,44.3,150
0,-23.5,46.5,15
0,43.5,25.4,2
0,25.1,113.4,1
0,3.9,20.7,5
0,-29.1,151.9,1
0,-17.2,34.6,135
0,48.9,13.2,1
0,-28.6,21.1,3
0,-6.1,-56.8,1
0,-12.0,-73.0,18
0,24.6,67.9,2
0,-30.5,117.3,1
0,31.3,-89.8,1
0,-1.0,23.3,6
0,46.9,47.9,10
0,-3.3,103.7,2
0,-34.6,117.7,2
0,-13.5,23.9,121
0,-36.8,144.6,1
0,-14.1,39.9,50
0,44.9,10.5,4
0,-6.5,32.5,166
0,36.8,-89.2,2
0,-8.8,13.7,38
0,-2.1,110.5,48
0,-29.8,-52.4,1
0,26.4,-81.6,12
0,45.4,40.8,21
0,-25.8,-62.7,1
0,10.3,-69.5,7
0,-2.3,15.9,51
0,58.5,-119.0,4
0,31.2,7.7,12
0,48.3,37.2,275
0,37.4,-93.5,1
0,47.5,-101.2,13
0,-15.3,126.7,8
0,-29.0,-62.1,2
0,1.8,99.7,15
0,-18.0,19.5,2
0,40.6,-81.7,2
0,65.3,82.4,37
0,67.4,77.2,1
0,-4.5,-46.1,7
0,-16.1,-63.5,34
0,62.3,50.7,1
0,35.2,111.2,1
0,35.5,133.4,1
0,33.8,-85.4,1
0,-5.5,37.4,9
0,-5.1,32.5,18
0,-19.9,20.7,33
0,-24.3,31.7,85
0,6.0,17.4,3
0,50.4,-99.4,1
0,-21.3,46.4,22
0,39.4,112.7,1
0,-8.7,39.3,19
0,60.8,71.7,20
0,-4.6,38.5,6
0,12.1,35.6,5
0,12.3,6.9,3
0,49.4,35.6,1
0,40.0,111.3,1
0,-14.4,39.1,151
0,-9.1,17.3,145
0,-3.5,29.9,1
0,11.2,30.9,1
0,-11.9,15.7,275
0,55.9,13.5,1
0,-39.2,-73.2,3
0,7.8,-62.3,1
0,45.0,20.9,7
0,1.2,128.0,1
0,-5.1,-47.9,5
0,-7.9,26.2,224
0,49.5,10.9,3
0,-16.1,-41.5,1
0,31.3,107.7,3
0,-39.4,176.8,2
0,-17.6,31.5,55
0,32.0,49.8,12
0,-12.0,32.4,9
0,-21.9,-47.1,1
0,36.6,-86.7,1
0,13.0,-13.9,10
0,57.1,95.6,1
0,54.7,-125.4,13
0,-15.0,21.5,21
0,23.7,79.9,2
0,-21.7,-45.9,2
0,22.8,-81.6,3
0,69.4,122.9,1
0,-25.0,-58.5,4
0,-4.0,-44.3,5
0,47.8,37.1,5
0,-38.1,-71.4,1
0,51.1,62.5,85
0,51.2,36.4,2
0,-13.5,39.2,128
0,-7.7,32.4,187
0,26.5,-108.5,1
0,3.0,32.0,12
0,-15.6,-56.1,27
0,13.0,2.9,1
0,-11.7,30.7,120
0,37.2,31.4,1
0,19.7,100.7,1
0,34.2,-86.5,5
0,-11.6,24.7,151
0,-4.1,33.2,2
0,-16.3,33.1,26
0,-9.3,-69.1,1
0,-11.4,36.9,88
0,35.7,-92.6,2
0,35.7,128.3,4
0,-9.4,27.7,51
0,19.9,-104.9,22
0,-24.0,-57.4,1
0,-3.6,23.0,10
0,6.6,-69.4,9
0,22.9,-82.8,3
0,-7.1,-71.9,3
0,20.1,-87.5,1
0,46.1,103.8,1
0,48.4,22.4,2
0,23.8,96.4,2
0,-27.1,29.0,4
0,-20.6,-63.2,1
0,-38.1,146.8,1
0,-11.1,31.2,128
0,13.8,26.9,61
0,46.2,49.6,5
0,47.8,67.8,12
0,19.2,-103.3,4
0,58.3,-116.7,12
0,-4.4,17.6,201
0,32.4,72.7,2
0,29.4,49.3,162
0,50.2,-105.6,1
0,-3.7,-47.2,1
0,-41.6,146.8,1
0,-7.2,12.8,58
0,22.5,80.2,1
0,3.0,-59.7,1
0,-14.0,133.1,57
0,32.8,49.5,3
0,-10.0,-60.2,165
0,60.8,112.1,256
0,-15.3,-51.3,1
0,41.3,-89.7,1
0,-8.7,-70.7,15
0,-2.7,-49.4,3
0,-2.8,-46.0,5
0,-15.9,-44.9,6
0,-14.4,24.6,61
0,-10.2,-40.3,4
0,-17.7,-61.1,1
0,-11.0,36.2,28
0,-8.7,31.1,6
