,detection_lag_1d,detection_lag_3d,detection_lag_7d,detection_lag_14d,detection_sum_last_3d,detection_sum_last_7d,detection_sum_last_14d,detection_sum_last_30d,active_days_last_3d,active_days_last_7d,active_days_last_14d,active_days_last_30d,frp_sum_last_7d,frp_sum_last_14d,frp_mean_active_last_7d,sin_doy,cos_doy
detection_lag_1d,1.0,0.23966031087637696,0.07303422895318111,0.06870107442903196,0.7255742521349008,0.5072747211215065,0.39528078143808554,0.3220674146016174,0.3092990231574348,0.25388655700750884,0.20760784824185508,0.16458197088175974,0.4066720102089972,0.3410729735480756,0.43078125237632,-0.06522971460384999,-0.04776510632898761
detection_lag_3d,0.23966031087637696,1.0,0.10649034239432935,0.08856047949385283,0.7315749067705771,0.6112385340710959,0.47606731205753644,0.3841334861938277,0.33292016520871887,0.3117190615143495,0.2489909110605623,0.19325115438191245,0.46661761704351645,0.3913586998316979,0.3361438066118916,-0.06775079941965922,-0.04279788774838113
detection_lag_7d,0.07303422895318111,0.10649034239432935,1.0,0.09777865697635997,0.12011882711955252,0.517084404472016,0.5209609799430036,0.4175815488081645,0.08433573009647506,0.25348059531849026,0.24697653131373148,0.19532714987330188,0.36718493505889965,0.4050560775100056,0.27469052600567034,-0.05733420502310166,-0.03395246513118441
detection_lag_14d,0.06870107442903196,0.08856047949385283,0.09777865697635997,1.0,0.09622511729487618,0.14040092607142854,0.40840072371954933,0.45010549816106443,0.12248396541536062,0.19723709050630558,0.3086978299957417,0.30448108362899917,0.0602533427053595,0.2524621911751007,0.03000550242114538,-0.06497278631657061,-0.019631689150252367
detection_sum_last_3d,0.7255742521349008,0.7315749067705771,0.12011882711955252,0.09622511729487618,1.0,0.7530246321238391,0.5839032592995282,0.4706871344930983,0.43485263965624216,0.3777072249454223,0.3029891459330592,0.23660780703966544,0.5842010155121373,0.4885985418890372,0.490937409554119,-0.08753148723601165,-0.06077857457043001
detection_sum_last_7d,0.5072747211215065,0.6112385340710959,0.517084404472016,0.14040092607142854,0.7530246321238391,1.0,0.8332194490454214,0.668793679426872,0.3604887998233886,0.4987365058254698,0.4201038780337079,0.32896268194831035,0.757538481023965,0.6805500994289867,0.5609189181030363,-0.10882415548798494,-0.0711557548951325
detection_sum_last_14d,0.39528078143808554,0.47606731205753644,0.5209609799430036,0.40840072371954933,0.5839032592995282,0.8332194490454214,1.0,0.8552220584109865,0.35137801587708556,0.5235834789308423,0.5685495741224759,0.4758250705996154,0.5885990830692355,0.7702918862665024,0.4199195533701555,-0.13185369341417544,-0.0727585946680283
detection_sum_last_30d,0.3220674146016174,0.3841334861938277,0.4175815488081645,0.45010549816106443,0.4706871344930983,0.668793679426872,0.8552220584109865,1.0,0.3625530844181033,0.5444559095202952,0.6324951824555655,0.6657559136650505,0.4403238619298299,0.6101654884174449,0.3003301862861832,-0.1564910508850982,-0.05776160126049558
active_days_last_3d,0.3092990231574348,0.33292016520871887,0.08433573009647506,0.12248396541536062,0.43485263965624216,0.3604887998233886,0.35137801587708556,0.3625530844181033,1.0,0.7134387837402287,0.5977898000527104,0.5078839031432455,0.1716616019022595,0.1778276653177915,0.08193311369047851,-0.15516863786089005,-0.09761613406736083
active_days_last_7d,0.25388655700750884,0.3117190615143495,0.25348059531849026,0.19723709050630558,0.3777072249454223,0.4987365058254698,0.5235834789308423,0.5444559095202952,0.7134387837402287,1.0,0.8727132831515345,0.7516736773356341,0.2293008701061748,0.2649028855803523,0.09546426537462634,-0.20155369200277884,-0.11850440217730873
active_days_last_14d,0.20760784824185508,0.2489909110605623,0.24697653131373148,0.3086978299957417,0.3029891459330592,0.4201038780337079,0.5685495741224759,0.6324951824555655,0.5977898000527104,0.8727132831515345,1.0,0.9031276108010786,0.1771056838223007,0.2761250674752999,0.06791475475259126,-0.2166509577684629,-0.10459922166942215
active_days_last_30d,0.16458197088175974,0.19325115438191245,0.19532714987330188,0.30448108362899917,0.23660780703966544,0.32896268194831035,0.4758250705996154,0.6657559136650505,0.5078839031432455,0.7516736773356341,0.9031276108010786,1.0,0.12613009837824107,0.21419699046585813,0.03846774973605187,-0.2192654303091538,-0.0721401244554792
frp_sum_last_7d,0.4066720102089972,0.46661761704351645,0.36718493505889965,0.0602533427053595,0.5842010155121373,0.757538481023965,0.5885990830692355,0.4403238619298299,0.1716616019022595,0.2293008701061748,0.1771056838223007,0.12613009837824107,1.0,0.8135173633506074,0.8080078574984529,-0.0374220358071557,-0.036482317967047685
frp_sum_last_14d,0.3410729735480756,0.3913586998316979,0.4050560775100056,0.2524621911751007,0.4885985418890372,0.6805500994289867,0.7702918862665024,0.6101654884174449,0.1778276653177915,0.2649028855803523,0.2761250674752999,0.21419699046585813,0.8135173633506074,1.0,0.6435748181245876,-0.05629123585700182,-0.04746432304483884
frp_mean_active_last_7d,0.43078125237632,0.3361438066118916,0.27469052600567034,0.03000550242114538,0.490937409554119,0.5609189181030363,0.4199195533701555,0.3003301862861832,0.08193311369047851,0.09546426537462634,0.06791475475259126,0.03846774973605187,0.8080078574984529,0.6435748181245876,1.0,-0.013503336519216296,-0.01865024551043318
sin_doy,-0.06522971460384999,-0.06775079941965922,-0.05733420502310166,-0.06497278631657061,-0.08753148723601165,-0.10882415548798494,-0.13185369341417544,-0.1564910508850982,-0.15516863786089005,-0.20155369200277884,-0.2166509577684629,-0.2192654303091538,-0.0374220358071557,-0.05629123585700182,-0.013503336519216296,1.0,0.5871252009417052
cos_doy,-0.04776510632898761,-0.04279788774838113,-0.03395246513118441,-0.019631689150252367,-0.06077857457043001,-0.0711557548951325,-0.0727585946680283,-0.05776160126049558,-0.09761613406736083,-0.11850440217730873,-0.10459922166942215,-0.0721401244554792,-0.036482317967047685,-0.04746432304483884,-0.01865024551043318,0.5871252009417052,1.0
